Date,Region,Sales,Profit
2021-01-01,North,1200,100
2021-01-05,West,2000,400
2021-01-08,East,3000,500
2021-02-01,North,1500,120
2021-02-05,West,2500,350
2021-02-08,East,3500,600
2021-03-01,North,1800,200
2021-03-05,West,2800,300
2021-03-08,East,4000,700
2021-04-01,North,2000,250
2021-04-05,West,3000,450
2021-04-08,East,4500,800
2021-05-01,North,2200,300
2021-05-05,West,3200,500
2021-05-08,East,5000,900
2021-06-01,South,2400,400
2021-06-05,West,3500,550
2021-06-08,East,5500,1000
2021-07-01,North,2500,450
2021-07-05,West,3800,600
2021-07-08,East,6000,1200
2021-08-01,North,2700,500
2021-08-05,West,4000,700
2021-08-08,East,7000,1500
2021-09-01,North,3000,600
2021-09-05,South,4500,800
2021-09-08,East,8000,2000
